DOI,Query,Title,Journal,ISSN,Publisher,Type,URL,Volume,Issue,Page,Language,PublishedPrint,PublishedOnline,Issued,Author
10.1002/9780470339510.ch16,carbides Ti,Novel Coatings of Cemented Carbides by an Improved HVOF Spraying Process,Advanced Ceramic Coatings and Interfaces II,,"John Wiley & Sons, Inc.",book-chapter,https://doi.org/10.1002/9780470339510.ch16,,,159-166,,,2009-12-14,2009-12-14,"Makoto, Watanabe, Pornthep, Chivavibul, Jin, Kawakita, Seiji, Kuroda"
10.1149/1.2209384,carbides Ti,Preparation and Characterization of Tungsten Carbides as Alkaline Fuel Cell Catalysts,ECS Transactions,"1938-5862, 1938-6737",The Electrochemical Society,journal-article,https://doi.org/10.1149/1.2209384,1,32,1-9,,2006-7-7,,2006-7-7,"Peikang, Shen, Fangyan, Xie, Hui, Meng"
10.24425/118937,carbides Ti,CARBIDES ANALYSIS OF THE HIGH STRENGTH AND LOW DENSITY Fe-Mn-Al-Si STEELS,Archives of Metallurgy and Materials,2300-1909,Polish Academy of Sciences Chancellery,journal-article,https://doi.org/10.24425/118937,,,,pl,,2018-2-6,2018-2-6,"W., Borek, L., Sozańska-Jędrasik, J., Mazurkiewicz, K., Matus"
10.1016/j.wear.2010.02.014,carbides Ti,Surface characteristics and removal mechanism of cemented tungsten carbides in nanoscratching,Wear,0043-1648,Elsevier BV,journal-article,https://doi.org/10.1016/j.wear.2010.02.014,268,11-12,1400-1408,en,2010-5,,2010-5,"H.Q., Sun, R., Irwan, H., Huang, G.W., Stachowiak"
10.1002/smll.201804736,carbides Ti,2D Early Transition Metal Carbides (MXenes) for Catalysis,Small,"1613-6810, 1613-6829",Wiley,journal-article,https://doi.org/10.1002/smll.201804736,15,29,,en,2019-7,2019-1-22,2019-1-22,"Zhe, Li, Yue, Wu"
10.4028/www.scientific.net/msf.539-543.4789,carbides Ti,Nano-Carbides and the Strength of Steels as Assessed by Electrical Resistivity Studies,Materials Science Forum,1662-9752,"Trans Tech Publications, Ltd.",journal-article,https://doi.org/10.4028/www.scientific.net/msf.539-543.4789,539-543,,4789-4794,,,2007-3-15,2007-3-15,"D.R., Lesuer, Georg, Frommeyer, Oleg D., Sherby, C.K., Syn"
10.1016/j.ssc.2006.06.007,carbides Ti,Electronic structure and shearing in nanolaminated ternary carbides,Solid State Communications,0038-1098,Elsevier BV,journal-article,https://doi.org/10.1016/j.ssc.2006.06.007,139,4,139-143,en,2006-7,,2006-7,"Denis, Music, Zhimei, Sun, Andrey A., Voevodin, Jochen M., Schneider"
10.1080/01411590903211309,carbides Ti,High pressure behavior and structural properties of transition metal carbides,Phase Transitions,"0141-1594, 1029-0338",Informa UK Limited,journal-article,https://doi.org/10.1080/01411590903211309,82,8,576-586,en,2009-8,,2009-8,"Archana, Singh, Mahendra, Aynyas, Sankar P., Sanyal"
10.63451/ti.v1i6.43,carbides Ti,Consumerização nas Organizações – Práticas e Gestão do Byod,Direito &amp; TI,2447-1097,WB Educação,journal-article,https://doi.org/10.63451/ti.v1i6.43,1,6,8,,,2016-12-18,2016-12-18,"Kelin, Daroz, Mauricio, Sebastião de Barros"
10.1016/s1875-5372(15)30046-1,carbides Ti,"Crevice Corrosion Behavior of CP Ti, Ti-6Al-4V Alloy and Ti-Ni Shape Memory Alloy in Artificial Body Fluids",Rare Metal Materials and Engineering,1875-5372,Elsevier BV,journal-article,https://doi.org/10.1016/s1875-5372(15)30046-1,44,4,781-785,en,2015-4,,2015-4,"Liang, Chenghao, Jia, Li'nan, Yuan, Chuanjun, Huang, Naibao"
10.1016/j.msea.2007.10.103,carbides Ti,Wetting induced by near-surface Ti-enrichment in the CaF2/In–Ti and CaF2/Cu–Ti systems,Materials Science and Engineering: A,0921-5093,Elsevier BV,journal-article,https://doi.org/10.1016/j.msea.2007.10.103,495,1-2,181-186,en,2008-11,,2008-11,"N., Froumin, S., Barzilai, M., Aizenshtein, M., Lomberg, N., Frage"
10.2478/s11534-008-0117-y,carbides Ti,Phase transition and high pressure behavior of Zirconium and Niobium carbides,Open Physics,2391-5471,Walter de Gruyter GmbH,journal-article,https://doi.org/10.2478/s11534-008-0117-y,7,1,102-107,en,2009-3-1,2009-1-8,2009-1-8,"Archana, Singh, Mahendra, Aynyas, Sankar, Sanyal"
10.1002/9781119869528.ch23,carbides Ti,MXenes in Electronics and Communication Devices,Transition Metal Carbides and Nitrides (MXenes) Handbook,,Wiley,other,https://doi.org/10.1002/9781119869528.ch23,,,621-650,en,2024-7-5,2024-6-7,2024-6-7,"Xiangming, Xu, Husam N., Alshareef"
10.4028/www.scientific.net/msf.475-479.2991,carbides Ti,Superplastic Behavior and Cavitation for WC-Co Cemented Carbides,Materials Science Forum,1662-9752,"Trans Tech Publications, Ltd.",journal-article,https://doi.org/10.4028/www.scientific.net/msf.475-479.2991,475-479,,2991-2994,,,2005-1-15,2005-1-15,"Hiroyuki, Hosokawa, Koji, Shimojima, Masaru, Kawakami, Shoken, Sano, Osamu, Terada, Mamoru, Mabuchi"
10.1038/s41467-019-10982-8,carbides Ti,Adhesion of two-dimensional titanium carbides (MXenes) and graphene to silicon,Nature Communications,2041-1723,Springer Science and Business Media LLC,journal-article,https://doi.org/10.1038/s41467-019-10982-8,10,1,,en,,2019-7-8,2019-7-8,"Yanxiao, Li, Shuohan, Huang, Congjie, Wei, Chenglin, Wu, Vadym N., Mochalin"
10.1007/s00339-008-4809-3,carbides Ti,The effect of Ti on the wetting of CaF2 substrate by In–Ti and Ga–Ti alloys. Ab-initio consideration,Applied Physics A,"0947-8396, 1432-0630",Springer Science and Business Media LLC,journal-article,https://doi.org/10.1007/s00339-008-4809-3,93,2,379-385,en,2008-11,2008-11-1,2008-11,"S., Barzilai, N., Argaman, N., Froumin, D., Fuks, N., Frage"
10.1201/9781420007282.ch14,carbides Ti,"BDEs of Ti(Ti sup;±)–, Zr(Zr +)–, and Hf(Hf +)–X bonds",Comprehensive Handbook of Chemical Bond Energies,,CRC Press,book-chapter,https://doi.org/10.1201/9781420007282.ch14,,,667-687,en,2007-3-9,2009-11-10,2007-3-9,
10.1109/glocom.2017.8254705,carbides Ti,Joint Computation Offloading and Resource Allocation in Cloud Based Wireless HetNets,GLOBECOM 2017 - 2017 IEEE Global Communications Conference,,IEEE,proceedings-article,https://doi.org/10.1109/glocom.2017.8254705,,,1-6,,2017-12,,2017-12,"Ti Ti, Nguyen, Bao Le, Long"
10.37544/1436-4980-2016-06-4,carbides Ti,Schleifen von WC-Co-Hartmetallen*/Grinding of Cemented Carbides (WC-Co),wt Werkstattstechnik online,1436-4980,VDI Fachmedien GmbH and Co. KG,journal-article,https://doi.org/10.37544/1436-4980-2016-06-4,106,06,374-379,,2016,,2016,"C., Wirtz, F., Vits, P., Mattfeld, F. Prof., Klocke"
10.1016/j.jpowsour.2008.11.074,carbides Ti,Hydrogen electrocatalysts from microwave-synthesised nanoparticulate carbides,Journal of Power Sources,0378-7753,Elsevier BV,journal-article,https://doi.org/10.1016/j.jpowsour.2008.11.074,188,1,75-81,en,2009-3,,2009-3,"E.J., Rees, K., Essaki, C.D.A., Brady, G.T., Burstein"
10.1143/jjap.39.4311,carbides Ti,First-Principles Study of the Surface Electronic Structures of Transition Metal Carbides,Japanese Journal of Applied Physics,"0021-4922, 1347-4065",IOP Publishing,journal-article,https://doi.org/10.1143/jjap.39.4311,39,7S,4311,,2000-7-1,,2000-7-1,"Kazuaki, Kobayashi"
10.1016/j.apcata.2012.02.041,carbides Ti,Hydrogenation of CO on molybdenum and cobalt molybdenum carbides,Applied Catalysis A: General,0926-860X,Elsevier BV,journal-article,https://doi.org/10.1016/j.apcata.2012.02.041,423-424,,192-204,en,2012-5,,2012-5,"Hiroyuki, Tominaga, Yusuke, Aoki, Masatoshi, Nagai"
10.1007/978-3-030-86118-6_14,carbides Ti,Cyclic Deformation in Nanostructures,Structural Integrity,"2522-560X, 2522-5618",Springer International Publishing,book-chapter,https://doi.org/10.1007/978-3-030-86118-6_14,,,479-494,en,2022,2021-11-19,2021-11-19,"Joshua, Pelleg"
10.13182/xyz-47352,carbides Ti,Thermophysical Properties of Refractory Carbides as NTP Surrogate Fuel,Nuclear and Emerging Technologies for Space (NETS 2025),,American Nuclear Society,proceedings-article,https://doi.org/10.13182/xyz-47352,,,436-436,,2025,,2025,"Alexander, Nadermann, Jonas, Kessing, Praveen, Negi, David, Sprouster, Lance, Snead, Steven, Zinkle"
